"rsp_id","rsp_age","rsp_age_cat","rsp_gender","rsp_edu","rsp_pol_int","rsp_pol_party","rsp_pol_scale","rsp_pol_side","rsp_trust","rsp_att_punish","rsp_att_redist","rsp_att_selfeffort","rsp_att_gayrights","rsp_att_eu","rsp_att_imm","rsp_para_interface","rsp_para_device","exp_post","src_n","src_adds","src_comments","src_established","src_ethics","src_party","src_readers","src_soft","src_status","src_post","src_party_matched"
1002950,6,"60 yrs and above","Female","Higher",3,"Conservative Party",9,"Right",10,6,4,5,7,4,5,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have no comment field","About 50 years ago","Few violations","Red Party","Many readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1006522,2,"30-59 yrs","Female","Lower or intermediate",4,NA,4,"Left",5,7,6,2,7,2,1,"touch","Did not use smart phone",1,1,"Have no advertisements","Have comment field (without journalists participating)","About 100 years ago","No violations","Social Democratic Party","Few readers","No entertainment news","Blog/website",1,NA
1006748,1,"18-29 yrs","Male","Lower or intermediate",5,"Liberal Party",7,"Right",6,4,3,5,6,2,2,"touch","Did not use smart phone",2,1,"Have no advertisements","Have comment field (with journalists participating)","About 50 years ago","Few violations","Agrarian Party","Many readers","Primarily entertainment news","Online newpaper",0,"Does not endorse prefered party"
1008972,3,"30-59 yrs","Male","Higher",4,"Red Party",3,"Left",9,6,6,3,6,6,2,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (with journalists participating)","About 50 years ago","No violations","Green Party","Few readers","Some entertainment news","Online newpaper",1,"Does not endorse prefered party"
1009243,1,"18-29 yrs","Male","Lower or intermediate",4,"Progress Party",9,"Right",8,6,3,7,7,7,7,"touch","Did not use smart phone",1,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 5 years ago","Few violations","Christian Democratic Party","Few readers","No entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1005291,2,"30-59 yrs","Female","Higher",4,"Social Democratic Party",6,"Centre",7,4,5,3,7,3,3,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 5 years ago","No violations","Liberal Party","Many readers","Some entertainment news","Blog/website",1,"Does not endorse prefered party"
1008925,4,"30-59 yrs","Male","Higher",3,"Green Party",4,"Left",8,5,5,3,6,2,2,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 100 years ago","Many violations","Conservative Party","Many readers","No entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1010273,5,"60 yrs and above","Male","Lower or intermediate",4,"Agrarian Party",4,"Left",5,5,6,5,7,5,2,"pc or generic",NA,2,1,"Have no advertisements","Have comment field (with journalists participating)","About 100 years ago","Many violations","Green Party","Few readers","Primarily entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1010148,5,"30-59 yrs","Male","Higher",4,"Social Democratic Party",8,"Right",6,7,5,6,7,6,7,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have no comment field","About 5 years ago","Many violations","Christian Democratic Party","Many readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1005844,6,"60 yrs and above","Male","Higher",4,"Red Party",2,"Left",9,4,6,5,6,4,2,"touch","Did not use smart phone",1,1,"Have advertisements (with native adv)","Have no comment field","About 100 years ago","Few violations","Red Party","Many readers","No entertainment news","Offline and online newspaper",1,"Endorses prefered party"
1008101,4,"30-59 yrs","Female","Lower or intermediate",4,"Green Party",3,"Left",9,6,7,3,7,1,1,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 100 years ago","No violations","Green Party","Few readers","Primarily entertainment news","Online newpaper",1,"Endorses prefered party"
1005904,5,"60 yrs and above","Female","Lower or intermediate",4,"Conservative Party",9,"Right",7,6,6,5,5,7,3,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (without journalists participating)","About 50 years ago","Many violations","Conservative Party","Few readers","Primarily entertainment news","Online newpaper",1,"Endorses prefered party"
1008592,3,"30-59 yrs","Female","Higher",4,"Social Democratic Party",7,"Right",7,4,2,6,7,4,2,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (without journalists participating)","About 100 years ago","Many violations","Social Democratic Party","Many readers","Some entertainment news","Offline and online newspaper",1,"Endorses prefered party"
1001059,5,"60 yrs and above","Male","Higher",4,"Green Party",7,"Right",8,6,5,4,7,2,2,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have no comment field","About 5 years ago","Few violations","Green Party","Few readers","Primarily entertainment news","Online newpaper",0,"Endorses prefered party"
1000770,2,"30-59 yrs","Male","Lower or intermediate",3,"Social Democratic Party",7,"Right",8,7,2,6,7,4,2,"touch","Did not use smart phone",2,1,"Have advertisements (without native adv)","Have no comment field","About 50 years ago","No violations","Green Party","Many readers","No entertainment news","Online newpaper",0,"Does not endorse prefered party"
1002001,7,"60 yrs and above","Female","Higher",4,"Conservative Party",9,"Right",7,6,3,5,5,4,6,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 5 years ago","Few violations","Green Party","Few readers","No entertainment news","Blog/website",0,"Does not endorse prefered party"
1008032,6,"60 yrs and above","Female","Lower or intermediate",4,"Conservative Party",9,"Right",8,6,5,5,7,2,2,"pc or generic",NA,2,1,"Have no advertisements","Have comment field (with journalists participating)","About 50 years ago","No violations","Socialist Left Party","Few readers","Some entertainment news","Online newpaper",0,"Does not endorse prefered party"
1005412,5,"30-59 yrs","Male","Lower or intermediate",4,"Progress Party",10,"Right",2,7,NA,7,NA,7,NA,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 5 years ago","Few violations","No party","Many readers","Primarily entertainment news","Offline and online newspaper",1,"No party endorsed"
1002746,7,"60 yrs and above","Male","Lower or intermediate",3,"Conservative Party",7,"Right",8,3,6,7,2,6,5,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have no comment field","About 50 years ago","Many violations","Progress Party","Few readers","No entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1006933,6,"60 yrs and above","Male","Lower or intermediate",4,"Social Democratic Party",6,"Centre",5,7,6,6,6,6,6,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 50 years ago","Many violations","Conservative Party","Few readers","No entertainment news","Blog/website",1,"Does not endorse prefered party"
1001256,3,"30-59 yrs","Female","Higher",3,"Social Democratic Party",5,"Left",9,6,6,4,7,3,1,"touch","Did not use smart phone",2,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 5 years ago","Few violations","Progress Party","Many readers","Some entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1008675,1,"18-29 yrs","Male","Higher",4,"Socialist Left Party",3,"Left",7,6,7,3,7,5,2,"touch","Did not use smart phone",2,1,"Have no advertisements","Have comment field (without journalists participating)","About 5 years ago","Few violations","Christian Democratic Party","Many readers","No entertainment news","Blog/website",0,"Does not endorse prefered party"
1010263,3,"30-59 yrs","Male","Higher",2,"Agrarian Party",6,"Centre",7,7,5,5,7,6,4,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have no comment field","About 50 years ago","No violations","Social Democratic Party","Few readers","No entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1008129,5,"60 yrs and above","Male","Lower or intermediate",3,NA,8,"Right",7,7,5,3,4,5,2,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have no comment field","About 5 years ago","Few violations","Social Democratic Party","Few readers","Primarily entertainment news","Offline and online newspaper",0,NA
1005639,5,"60 yrs and above","Female","Higher",4,"Social Democratic Party",4,"Left",6,4,6,4,5,4,2,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 50 years ago","Many violations","Agrarian Party","Many readers","Primarily entertainment news","Online newpaper",0,"Does not endorse prefered party"
1001442,1,"18-29 yrs","Male",NA,5,"Progress Party",8,"Right",4,4,6,6,7,6,7,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 100 years ago","Many violations","No party","Many readers","Primarily entertainment news","Online newpaper",0,"No party endorsed"
1009159,4,"30-59 yrs","Male","Higher",3,"Conservative Party",8,"Right",8,5,3,7,6,5,6,"pc or generic",NA,2,1,"Have no advertisements","Have no comment field","About 5 years ago","Few violations","Christian Democratic Party","Many readers","Some entertainment news","Online newpaper",0,"Does not endorse prefered party"
1007935,4,"30-59 yrs","Male","Higher",3,"Conservative Party",8,"Right",8,6,3,6,2,7,6,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 50 years ago","Many violations","Agrarian Party","Many readers","No entertainment news","Blog/website",1,"Does not endorse prefered party"
1001582,5,"60 yrs and above","Male","Higher",4,"Progress Party",8,"Right",4,6,5,6,2,5,6,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (with journalists participating)","About 100 years ago","No violations","Liberal Party","Few readers","Some entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1008449,2,"30-59 yrs","Female",NA,3,NA,6,"Centre",5,7,4,4,7,4,4,"touch","Did not use smart phone",1,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 5 years ago","Few violations","Conservative Party","Few readers","Primarily entertainment news","Blog/website",1,NA
1002872,2,"30-59 yrs","Male","Higher",5,"Social Democratic Party",3,"Left",4,6,7,7,5,5,2,"touch","Did not use smart phone",2,1,"Have no advertisements","Have no comment field","About 50 years ago","No violations","No party","Many readers","Primarily entertainment news","Online newpaper",0,"No party endorsed"
1006095,3,"30-59 yrs","Female","Higher",3,"Social Democratic Party",4,"Left",10,5,6,4,6,2,2,"pc or generic",NA,1,1,"Have no advertisements","Have no comment field","About 50 years ago","Many violations","Christian Democratic Party","Many readers","Primarily entertainment news","Blog/website",1,"Does not endorse prefered party"
1008143,4,"30-59 yrs","Female","Lower or intermediate",4,"Conservative Party",10,"Right",4,7,6,6,7,6,7,"touch","Did not use smart phone",1,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 5 years ago","No violations","Green Party","Many readers","Some entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1000487,2,"18-29 yrs","Female","Higher",5,"Social Democratic Party",6,"Centre",7,5,6,6,6,3,3,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 100 years ago","Few violations","Red Party","Few readers","Some entertainment news","Online newpaper",1,"Does not endorse prefered party"
1000470,2,"30-59 yrs","Female","Higher",3,"Progress Party",9,"Right",8,7,6,5,6,6,5,"touch","Did not use smart phone",2,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 100 years ago","No violations","Social Democratic Party","Many readers","Primarily entertainment news","Online newpaper",0,"Does not endorse prefered party"
1001005,5,"60 yrs and above","Female","Lower or intermediate",3,"Socialist Left Party",2,"Left",5,6,6,5,7,4,1,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 50 years ago","Many violations","Agrarian Party","Many readers","Some entertainment news","Online newpaper",0,"Does not endorse prefered party"
1001333,5,"60 yrs and above","Female","Higher",4,"Green Party",4,"Left",7,7,6,5,7,5,4,"pc or generic",NA,2,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 100 years ago","Many violations","Red Party","Few readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1005964,2,"30-59 yrs","Male","Higher",4,"Socialist Left Party",1,"Left",4,4,7,2,7,4,2,"pc or generic",NA,1,1,"Have no advertisements","Have no comment field","About 5 years ago","Many violations","Agrarian Party","Many readers","No entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1000787,6,"60 yrs and above","Female","Lower or intermediate",5,"Conservative Party",8,"Right",7,4,5,3,6,6,6,"touch","Did not use smart phone",1,1,"Have no advertisements","Have comment field (with journalists participating)","About 100 years ago","Many violations","Progress Party","Few readers","Some entertainment news","Online newpaper",1,"Does not endorse prefered party"
1000165,5,"30-59 yrs","Male","Higher",4,"Progress Party",10,"Right",6,7,6,7,5,5,7,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (without journalists participating)","About 5 years ago","Few violations","Conservative Party","Few readers","No entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1007611,4,"30-59 yrs","Female","Higher",4,NA,3,"Left",9,4,6,5,7,2,1,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 5 years ago","Many violations","Liberal Party","Few readers","Primarily entertainment news","Online newpaper",1,NA
1005644,3,"30-59 yrs","Male","Higher",4,"Social Democratic Party",3,"Left",5,5,7,6,7,4,1,"pc or generic",NA,2,1,"Have no advertisements","Have no comment field","About 100 years ago","Few violations","Red Party","Few readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1005028,6,"60 yrs and above","Female","Higher",5,"Progress Party",7,"Right",8,6,5,3,2,6,6,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 50 years ago","Few violations","No party","Few readers","Some entertainment news","Online newpaper",1,"No party endorsed"
1010056,7,"60 yrs and above","Female","Lower or intermediate",4,"Social Democratic Party",5,"Left",5,6,5,3,4,5,2,"pc or generic",NA,2,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 50 years ago","No violations","Red Party","Many readers","Some entertainment news","Blog/website",0,"Does not endorse prefered party"
1006036,6,"60 yrs and above","Male","Higher",5,"Red Party",1,"Left",10,6,7,2,7,2,1,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (without journalists participating)","About 5 years ago","Few violations","Social Democratic Party","Few readers","No entertainment news","Blog/website",1,"Does not endorse prefered party"
1000881,6,"60 yrs and above","Male","Higher",5,"Conservative Party",8,"Right",6,6,5,5,5,3,5,"pc or generic",NA,1,1,"Have no advertisements","Have comment field (without journalists participating)","About 100 years ago","Many violations","Christian Democratic Party","Few readers","Some entertainment news","Online newpaper",1,"Does not endorse prefered party"
1006255,6,"60 yrs and above","Male","Higher",3,"Conservative Party",9,"Right",5,6,2,6,6,6,6,"pc or generic",NA,2,1,"Have no advertisements","Have comment field (without journalists participating)","About 50 years ago","Many violations","Social Democratic Party","Few readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1006648,6,"60 yrs and above","Male","Higher",4,"Conservative Party",8,"Right",7,7,6,7,4,7,7,"pc or generic",NA,2,1,"Have no advertisements","Have comment field (without journalists participating)","About 100 years ago","No violations","Green Party","Few readers","Primarily entertainment news","Blog/website",0,"Does not endorse prefered party"
1001780,2,"30-59 yrs","Female","Lower or intermediate",3,"Christian Democratic Party",4,"Left",5,7,7,1,5,4,5,"pc or generic","Did not use smart phone",2,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 100 years ago","Few violations","Green Party","Few readers","No entertainment news","Blog/website",0,"Does not endorse prefered party"
1003146,6,"60 yrs and above","Male","Higher",5,"Social Democratic Party",3,"Left",10,5,7,4,6,6,4,"pc or generic",NA,1,1,"Have no advertisements","Have no comment field","About 50 years ago","Few violations","No party","Few readers","Some entertainment news","Blog/website",1,"No party endorsed"
1001929,5,"30-59 yrs","Male","Lower or intermediate",2,"Social Democratic Party",5,"Left",7,7,7,6,3,7,6,"pc or generic",NA,1,1,"Have no advertisements","Have no comment field","About 5 years ago","No violations","No party","Few readers","No entertainment news","Online newpaper",1,"No party endorsed"
1007270,1,"18-29 yrs","Female","Lower or intermediate",4,"Social Democratic Party",4,"Left",8,7,5,3,7,5,2,"touch","Did not use smart phone",2,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 5 years ago","Many violations","Agrarian Party","Few readers","Primarily entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1006226,5,"30-59 yrs","Male","Higher",4,"Progress Party",10,"Right",3,6,5,5,3,6,6,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 100 years ago","Few violations","Agrarian Party","Many readers","Some entertainment news","Blog/website",1,"Does not endorse prefered party"
1008349,6,"60 yrs and above","Male","Lower or intermediate",4,"Social Democratic Party",5,"Left",7,NA,NA,5,NA,4,NA,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 100 years ago","No violations","Liberal Party","Few readers","Some entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1003288,2,"18-29 yrs","Female","Higher",4,"Conservative Party",7,"Right",4,7,4,3,7,7,6,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have comment field (without journalists participating)","About 50 years ago","No violations","No party","Many readers","Some entertainment news","Blog/website",1,"No party endorsed"
1009384,5,"60 yrs and above","Male","Higher",5,"Progress Party",9,"Right",5,7,3,7,1,7,7,"pc or generic",NA,2,1,"Have no advertisements","Have no comment field","About 100 years ago","Many violations","Progress Party","Few readers","Primarily entertainment news","Online newpaper",0,"Endorses prefered party"
1002390,5,"60 yrs and above","Male","Higher",3,"Social Democratic Party",4,"Left",8,4,7,6,6,4,2,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 50 years ago","Few violations","Socialist Left Party","Few readers","Some entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1010084,6,"60 yrs and above","Female","Lower or intermediate",4,"Social Democratic Party",5,"Left",5,6,6,4,6,6,3,"pc or generic",NA,1,1,"Have no advertisements","Have no comment field","About 5 years ago","Many violations","No party","Many readers","Some entertainment news","Blog/website",1,"No party endorsed"
1000841,5,"30-59 yrs","Female","Higher",3,"Social Democratic Party",6,"Centre",7,5,5,6,6,7,7,"pc or generic",NA,2,1,"Have no advertisements","Have comment field (with journalists participating)","About 5 years ago","Few violations","Progress Party","Few readers","No entertainment news","Blog/website",0,"Does not endorse prefered party"
1005539,6,"60 yrs and above","Male","Higher",5,"Social Democratic Party",5,"Left",8,4,5,5,6,3,2,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 100 years ago","Few violations","Green Party","Many readers","No entertainment news","Online newpaper",1,"Does not endorse prefered party"
1007575,3,"30-59 yrs","Male","Higher",2,"Social Democratic Party",4,"Left",8,4,4,4,7,3,1,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have no comment field","About 5 years ago","Few violations","Green Party","Many readers","Primarily entertainment news","Blog/website",1,"Does not endorse prefered party"
1007584,4,"30-59 yrs","Male","Lower or intermediate",3,"Progress Party",8,"Right",8,7,4,5,3,4,6,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have no comment field","About 100 years ago","Many violations","Liberal Party","Many readers","Primarily entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
1010225,5,"30-59 yrs","Male","Higher",4,"Conservative Party",10,"Right",3,7,4,6,6,7,7,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 100 years ago","Few violations","Liberal Party","Few readers","Primarily entertainment news","Online newpaper",1,"Does not endorse prefered party"
1005369,5,"30-59 yrs","Female","Higher",5,"Social Democratic Party",3,"Left",10,2,7,2,7,1,1,"pc or generic",NA,2,1,"Have no advertisements","Have comment field (without journalists participating)","About 100 years ago","Few violations","Conservative Party","Few readers","Some entertainment news","Online newpaper",0,"Does not endorse prefered party"
1008609,5,"30-59 yrs","Male",NA,4,"Social Democratic Party",2,"Left",10,5,7,2,7,1,1,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have no comment field","About 50 years ago","Many violations","Red Party","Few readers","Some entertainment news","Blog/website",1,"Does not endorse prefered party"
1010154,3,"30-59 yrs","Male","Higher",4,"Socialist Left Party",4,"Left",9,5,7,2,6,4,2,"pc or generic",NA,1,1,"Have no advertisements","Have no comment field","About 100 years ago","Many violations","No party","Few readers","Primarily entertainment news","Offline and online newspaper",1,"No party endorsed"
1003291,4,"30-59 yrs","Female","Higher",3,"Conservative Party",7,"Right",7,7,6,5,7,5,4,"pc or generic",NA,1,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 100 years ago","No violations","Christian Democratic Party","Many readers","Some entertainment news","Online newpaper",1,"Does not endorse prefered party"
1008157,4,"30-59 yrs","Male","Higher",5,"Social Democratic Party",6,"Centre",8,7,5,5,7,1,3,"touch","Did not use smart phone",2,1,"Have advertisements (with native adv)","Have comment field (with journalists participating)","About 100 years ago","No violations","Green Party","Few readers","Some entertainment news","Offline and online newspaper",0,"Does not endorse prefered party"
1006149,6,"60 yrs and above","Male","Higher",4,"Socialist Left Party",5,"Left",8,4,6,2,6,2,2,"pc or generic",NA,1,1,"Have advertisements (without native adv)","Have comment field (with journalists participating)","About 5 years ago","Many violations","Conservative Party","Many readers","Primarily entertainment news","Offline and online newspaper",1,"Does not endorse prefered party"
